field_1,field_2,field_3,field_4,field_5,RE_count,RE_mean,RE_median,B_count,B_mean,B_median,G_count,G_mean,G_median,NIR_count,NIR_mean,NIR_median,R_count,R_mean,R_median
202,764855.374,6309985.073,22.415,10,234,20502.188034188,20671,234,93.6025641025641,96,234,15950.9786324786,15916,234,17664.1025641026,17599,234,12121.8418803419,12070
203,764852.301,6309983.4,22.385,10,234,18846.8333333333,18456.5,234,103.487179487179,103,234,15654.2393162393,15451,234,14988.9316239316,14692,234,12693.9700854701,12756.5
204,764847.783,6309982.352,22.42,10,232,20464.0129310345,19507,232,108.896551724138,110,232,16864.6896551724,16510,232,15846.8362068966,14904.5,232,13429.7931034483,13480.5
205,764844.61,6309979.511,22.428,8,233,23968.4248927039,23740,233,82.31330472103,83,233,16893.6652360515,16762,233,20919.4549356223,20783,233,11807.982832618,11771
206,764838.738,6309978.054,22.443,9,232,20111.4267241379,19481,232,91.1422413793103,94,232,15588.0043103448,15480,232,16837.4655172414,16366.5,232,12168.2629310345,12087
207,764836.694,6309977.207,22.408,10,234,17006.5854700855,16318,234,108.824786324786,109,234,15846.9316239316,15680.5,234,12500.2521367521,11736.5,234,14568.358974359,14613.5
208,764834.127,6309975.568,22.468,7,232,16708.4181034483,15936.5,232,110.228448275862,111.5,232,15870.7543103448,15662.5,232,12699.8922413793,12145,232,15082.1982758621,15131
209,764830.509,6309974.757,22.45,8,233,17851.4120171674,17005,233,104.223175965665,105,233,15274.5922746781,15112,233,13981.7982832618,13439,233,13616.30472103,13717
210,764825.774,6309974.266,22.458,9,234,17518.858974359,16073,234,106.264957264957,111,234,15464.3717948718,15203,234,13817.4444444444,12958,234,13374.5,13394
211,764820.594,6309974.524,22.469,6,233,19838.1416309013,18624,233,113.364806866953,115,233,16365.1716738197,15972,233,16392.660944206,15475,233,13286.9098712446,13330
212,764819.749,6309974.46,22.55,0,232,19147.0387931034,18345.5,232,115.698275862069,117,232,15968.7068965517,15783.5,232,16249.900862069,15292,232,14317.9655172414,14480.5
213,764818.091,6309974.966,22.543,0,236,18752.0720338983,18109,236,108.453389830508,110,236,15541.2076271186,15487,236,16207.3728813559,15522,236,13909.4745762712,13831.5
214,764816.448,6309975.46,22.534,0,232,20726.9310344828,20457.5,232,92.9827586206897,94,232,15321.2543103448,15298,232,18776.5948275862,18292.5,232,12463.0129310345,12517.5
215,764813.92,6309973.777,22.438,5,233,18252.3991416309,17501,233,111.523605150215,111,233,15590.2660944206,15476,233,14749.7639484979,14091,233,12971.7467811159,13090
216,764812.886,6309966.641,22.447,4,237,22759.0168776371,22436,237,94.8438818565401,97,237,16138.5991561181,15840,237,21529.2320675105,21132,237,10801.8987341772,10527
217,764813.062,6309959.227,22.487,5,231,18131.2640692641,17373,231,119.995670995671,121,231,15890.3333333333,15758,231,14591.7965367965,13822,231,13232.9913419913,13362
218,764815.054,6309955.675,22.475,5,234,23621.1623931624,23588.5,234,83.0897435897436,84,234,15593.905982906,15445,234,22728.905982906,22678,234,10069.0213675214,10056.5
219,764822.252,6309951.32,22.525,6,234,17568.7991452991,16650,234,113.636752136752,116,234,15582.4273504273,15419,234,14250.1623931624,13662.5,234,13870.4914529915,13948
220,764824.78,6309950.416,22.472,10,234,20813.3076923077,20264.5,234,100.820512820513,103,234,16400.0427350427,16342,234,17509.2692307692,17001,234,12635.1239316239,12708
221,764835.7,6309949.109,22.426,9,233,15804.2274678112,14952,233,122.098712446352,123,233,15510.2145922747,15255,233,11898.6008583691,11198,233,14408.4420600858,14345
222,764839.34,6309949.631,22.451,7,234,18549.9230769231,18019,234,104.393162393162,106,234,15567.5384615385,15505,234,14802.0299145299,14287.5,234,13082.2863247863,13105
223,764844.875,6309949.12,22.45,10,233,18915.9098712446,18342,233,105.660944206009,108,233,15664.0472103004,15411,233,15064.643776824,14764,233,13016.6738197425,13002
224,764849.595,6309949.202,22.455,9,234,21713.6666666667,21565.5,234,91.1025641025641,93,234,16051.1111111111,15963,234,18011.2008547009,17801.5,234,11700.9871794872,11709.5
225,764854.861,6309949.48,22.421,9,235,18532.8553191489,18095,235,101.987234042553,103,235,15519.0765957447,15283,235,14472.5957446809,14015,235,12884.3829787234,12639
226,764859.039,6309950.675,22.411,10,232,22844.75,23129.5,232,89.7025862068966,90.5,232,16615.625,16774.5,232,19504.3706896552,19456,232,11643.6681034483,11713
227,764865.732,6309950.683,22.439,8,236,20660.4152542373,19588.5,236,100.622881355932,101,236,16258.2288135593,15771.5,236,16606.4110169492,15741,236,12525.0508474576,12404.5
228,764872.624,6309949.474,22.409,12,235,20679.8893617021,20122,235,102.012765957447,104,235,16689.5574468085,16590,235,16301.229787234,16089,235,12646.9829787234,12592
229,764877.319,6309948.741,22.397,10,236,18328.75,17354,236,108.114406779661,110,236,15855.436440678,15532,236,13913.0720338983,13121,236,13211.8686440678,13063.5
230,764884.564,6309948.935,22.426,6,234,18255.5641025641,17532.5,234,92.8333333333333,92,234,14496.4957264957,14265.5,234,15707.5683760684,15222,234,11784.358974359,11766.5
231,764885.372,6309949.547,22.486,1,232,18460.4870689655,17459,232,99.8060344827586,100,232,15213.7327586207,14975.5,232,15709.0775862069,14921,232,13297.3836206897,13249
232,764886.527,6309949.852,22.421,5,232,19283.1336206897,18647.5,232,96.9612068965517,98,232,15442.7284482759,15171.5,232,16039.3879310345,15493,232,12712.7370689655,12597.5
233,764891.568,6309949.492,22.41,3,232,17001.5646551724,16129.5,232,104.090517241379,104,232,15018.025862069,14631.5,232,13213.0387931034,12543.5,232,13086.6336206897,13140.5
234,764894.795,6309949.95,22.446,3,233,17611.2360515021,16923,233,110.047210300429,111,233,15579.8197424893,15380,233,13565.6223175966,13154,233,14191.9785407725,14298
235,764897.79,6309950.669,22.445,1,231,18150.9393939394,17079,231,108.411255411255,110,231,15675.6536796537,15549,231,14504.9264069264,13723,231,14821.683982684,15055
236,764898.163,6309951.563,22.466,1,235,20008.8765957447,19262,235,104.51914893617,104,235,16245.8553191489,16182,235,16117.7659574468,15467,235,14010.8510638298,13884
237,764899.291,6309951.074,22.445,3,234,17188.4316239316,16448.5,234,103.076923076923,103,234,14852.5598290598,14696,234,13984.1282051282,13353.5,234,13510.2735042735,13644.5
238,764902.135,6309950.628,22.443,1,232,20462.3879310345,19736,232,82.926724137931,82.5,232,15302.2284482759,15172.5,232,18025.4482758621,17343.5,232,11703.4439655172,11620.5
239,764904.372,6309946.743,22.427,3,233,19085.2875536481,18176,233,104.210300429185,105,233,16334.9270386266,16078,233,14855.1459227468,14231,233,13707.4163090129,13884
240,764906.765,6309947.277,22.45,1,232,19791.150862069,18160,232,100.150862068966,101,232,16128.7068965517,15772,232,16396.8706896552,15273.5,232,13622.3103448276,13592
241,764906.718,6309945.652,22.461,1,232,20461.9094827586,18622.5,232,96.0086206896552,97,232,16372.4525862069,15704.5,232,16920.9784482759,15340.5,232,13509.8362068966,13448.5
242,764908.149,6309945.235,22.44,3.5,232,18613.3017241379,17598.5,232,104.168103448276,105,232,15599.1810344828,15579,232,15308.025862069,14561,232,13567.0474137931,13479
243,764913.175,6309946.95,22.41,5.5,233,17068.7768240343,15493,233,115.811158798283,117,233,15355.4892703863,14925,233,13366.2918454936,12048,233,14151.982832618,14177
244,764919.715,6309949.134,22.391,8,236,19891.2923728814,19011,236,94.478813559322,95,236,15373.906779661,15003,236,17404.0889830508,16659.5,236,11904.7161016949,11966
245,764925.888,6309949.144,22.423,5,234,19124.2264957265,17398,234,102.247863247863,102.5,234,15815.2478632479,15444,234,16060.1068376068,14489,234,13241.641025641,13378.5
246,764933.198,6309950.608,22.396,8,236,19919.8559322034,19416,236,95.4237288135593,97,236,15582.8008474576,15509,236,17292.5889830508,16618,236,11829.813559322,11827.5
247,764939.151,6309951.995,22.343,10,233,18567.3433476395,17453,233,102.317596566524,103,233,15409.7596566524,15005,233,15186.9527896996,14145,233,12496.0772532189,12548
248,764945.6,6309952.058,22.274,11,233,19469.8841201717,18047,233,100.145922746781,102,233,15611.3261802575,15021,233,16132.5579399142,15047,233,12144.4978540773,12049
249,764951.885,6309951.413,22.301,13,232,17906.7715517241,16643,232,107.431034482759,108,232,15420.5646551724,15050,232,13929.5517241379,13276.5,232,13559.4698275862,13522
250,764955.71,6309951.534,22.295,15,233,20205.6309012876,19351,233,119.43347639485,120,233,17701.3090128755,17385,233,14255.8197424893,13720,233,15030.8025751073,14878
251,764961.382,6309950.361,22.349,10,234,19638.5299145299,19256.5,234,104.316239316239,105.5,234,15796.6111111111,15580,234,14943.4871794872,14308.5,234,12875.4230769231,12864
252,764968.329,6309951.938,22.352,8,233,23618.2703862661,22821,233,91.6523605150215,94,233,16264.2446351931,15864,233,19459.3261802575,18686,233,11906.3819742489,11990
