field_1,field_2,field_3,field_4,field_5,G_count,G_mean,G_median,R_count,R_mean,R_median,NIR_count,NIR_mean,NIR_median,RE_count,RE_mean,RE_median,B_count,B_mean,B_median
1185,750129.74,6297700.577,25.5,2,236,15145.0974576271,14962.5,236,8748.89830508475,8609.5,236,21486.656779661,21510,236,22510.8940677966,22488.5,236,50.7076271186441,46.5
1186,750129.468,6297699.093,25.463,4,233,12960.6309012876,12960,233,11825.5579399142,12734,233,9436.37339055794,7972,233,12152.7939914163,11102,233,91.8497854077253,98
1187,750131.319,6297699.655,25.485,1,233,13895.313304721,12821,233,12791.9227467811,12703,233,11069.8197424893,9104,233,13754.3776824034,11375,233,98.1244635193133,103
1188,750132.171,6297699.58,25.459,3,234,14300.0726495727,13178,234,13548.1153846154,13650,234,9740.85897435897,8236,234,13341.8205128205,11259.5,234,104.252136752137,107
1189,750138.139,6297693.481,25.395,5,234,13955.0427350427,13712.5,234,8760.23504273504,8613.5,234,17729.1752136752,17228.5,234,19722.5299145299,19274.5,234,55.542735042735,53.5
1190,750149.164,6297691.458,25.399,5,233,15088.5922746781,14981,233,8330.75965665236,8225,233,23064.8969957082,23029,233,23703.7210300429,23454,233,44.5751072961373,42
1191,750162.87,6297689.614,25.386,7,233,14797.1545064378,14435,233,9768.57939914163,9618,233,16821.6480686695,16507,233,20218.6266094421,19690,233,72.7982832618026,69
1192,750173.748,6297686.4,25.358,6,233,12872.9656652361,11016,233,9321.22317596567,8745,233,15107.3090128755,12733,233,16697.3175965665,13078,233,68.549356223176,66
1193,750180.238,6297685.613,25.33,9,233,13939.9055793991,13205,233,9479.99141630901,8894,233,17543.3948497854,15551,233,18921.5836909871,15950,233,69.4077253218884,66
1194,750189.915,6297687.842,25.327,6,232,15079.724137931,13358,232,10616.900862069,10455.5,232,14308.3448275862,12571.5,232,18284.0948275862,15326.5,232,76.5129310344828,77
1195,750203.457,6297689.079,25.353,9,234,16012.3333333333,14071.5,234,12674.6111111111,12540.5,234,13587.4230769231,11311.5,234,17769.311965812,13994,234,92.1495726495726,92
1196,750214.869,6297686.343,25.334,9,232,16149.9568965517,15495,232,12078.3146551724,12261.5,232,15318.7801724138,14217.5,232,18826.0215517241,17412.5,232,87.2456896551724,90
1197,750226.059,6297680.635,25.31,11,232,12779.0043103448,12781,232,13174.849137931,13235.5,232,7240.18965517241,7156,232,10698.8060344828,10651.5,232,101.887931034483,103
1198,750238.144,6297678.359,25.336,9,235,14853.2170212766,13180,235,11644.9914893617,11408,235,12261.3489361702,10410,235,16093.4936170213,12952,235,89.6042553191489,86
1199,750260.715,6297671.71,25.35,7,234,16242.4017094017,15457,234,10351.5341880342,10150,234,16456.1752136752,15489,234,19676.5341880342,18558.5,234,73.1666666666667,70
1200,750268.365,6297668.362,25.319,3,236,15899.7669491525,14963.5,236,9911.26271186441,9619.5,236,19203.1949152542,17650,236,21571.2118644068,18891.5,236,67.6906779661017,65
1201,750274.572,6297668.001,25.241,6,233,15341.5193133047,15055,233,8116.44206008584,7889,233,23333.2403433476,22880,233,23182.5278969957,23095,233,41.6051502145923,40
1202,750284.798,6297670.364,25.283,6,235,14363.2765957447,14145,235,8122.96170212766,7964,235,18075.5574468085,17229,235,19741.9446808511,18935,235,51.936170212766,51
1203,750293.062,6297670.697,25.283,4,235,14456.2765957447,13637,235,10376.2425531915,10294,235,13116.7829787234,12467,235,16719.8425531915,15470,235,76.3446808510638,76
1204,750302.957,6297669.751,25.3,3,234,14295.9017094017,13805.5,234,8521.19658119658,8336,234,18582.0427350427,17658.5,234,20682.1239316239,19159,234,55.508547008547,53.5
1205,750318.448,6297669.729,25.302,5,233,15642.9570815451,15701,233,8417.78111587983,8386,233,23030.2446351931,22482,233,24881.7896995708,24347,233,47.0987124463519,46
1206,750327.775,6297668.265,25.311,3,235,13858.2340425532,13635,235,7923.21276595745,7833,235,19429.3617021277,18889,235,21319.6978723404,20660,235,52.8765957446808,47
1207,750335.31,6297666.934,25.328,1,234,16699.9188034188,16374.5,234,10444.9401709402,10387.5,234,21073.1581196581,20580,234,24072.1965811966,23364,234,72.7264957264957,71
1208,750336.691,6297666.995,25.325,1,234,15307.6794871795,15026,234,8703.28205128205,8599.5,234,21970.6282051282,20862.5,234,23761.7735042735,22791,234,58.2435897435897,53
