field_1,field_2,field_3,field_4,field_5,B_count,B_mean,B_median,B_stdev,B_min,B_max,G_count,G_mean,G_median,G_stdev,G_min,G_max,R_count,R_mean,R_median,R_stdev,R_min,R_max,RE_count,RE_mean,RE_median,RE_stdev,RE_min,RE_max,NIR_count,NIR_mean,NIR_median,NIR_stdev,NIR_min,NIR_max
1157,750059.088,6297727.118,25.519,7,9,56.2222222222222,54,14.8531910359565,31,75,9,15356.5555555556,15644,1775.25617000359,12887,18950,9,8777,8960,462.618633433631,7875,9316,9,20473.6666666667,19565,3369.47961692735,15898,26634,9,17064.2222222222,16656,1205.74640578429,15661,19147
1158,750067.057,6297726.259,25.563,5,8,101,100.5,5.40832691319598,93,113,8,13677,13655.5,193.225257148231,13309,13914,8,13156.125,13161.5,143.074663637557,12920,13319,8,10399,10376.5,153.917997648098,10188,10592,8,6963.875,6978,154.02876151875,6726,7196
1159,750071.87,6297717.508,25.517,6,9,61.6666666666667,53,18.2999696417477,42,96,9,17668.5555555556,17466,2749.76581269958,13662,22696,9,9410.77777777778,9308,824.142757021268,8132,10668,9,27697,24721,6097.2018354506,20243,38457,9,24488.7777777778,22584,4845.69836218516,18126,32871
1160,750078.428,6297714.473,25.495,7,9,101.777777777778,89,32.835542320878,62,159,9,20274,20721,2872.4936127963,16315,24976,9,11389.2222222222,11724,1092.71555491382,9918,13303,9,21440.2222222222,22624,6125.30445098723,13681,32552,9,18658.1111111111,19574,3260.09585559295,14332,24026
1161,750093.796,6297711.7,25.523,5,8,66.25,59,22.145823534021,35,97,8,18630.25,18919,2117.96964980615,15543,21718,8,10425.875,10465.5,824.621191441864,9163,11663,8,27612.5,27925.5,1816.08555690529,24387,30221,8,24012.875,23937.5,1570.35763741098,20953,26737
1162,750100.78,6297703.977,25.557,-1,9,37.2222222222222,31,25.9862261711331,10,89,9,13473.3333333333,11886,2548.85285744173,10671,17650,9,8881.66666666667,9286,688.551458578886,7806,9608,9,18660.6666666667,17853,3315.90466958533,14433,23860,9,17411.7777777778,17342,2206.93325568802,14772,20545
1163,750102.519,6297704.542,25.552,-1,9,83,93,22.300971578237,49,113,9,18098.8888888889,18588,3442.61355640819,12490,23669,9,13540.6666666667,13037,1446.48101727376,11695,15825,9,23083.6666666667,23339,3856.26805776431,16614,29338,9,19938.8888888889,20213,2536.5671222012,15727,23643
1164,750104.075,6297703.47,25.542,-1,10,36.4,34.5,13.0705776459956,19,61,10,15522.1,15339,2535.32437569633,11527,19091,10,8609.6,8472,669.550625419766,7660,10150,10,23434.9,23832,5295.81310942899,15542,31160,10,22216.8,22734.5,4365.73118274591,15489,28598
1165,750104.988,6297705.104,25.545,-1,10,170.9,172.5,11.0313190507754,143,188,10,21798.1,21619.5,1381.68313661273,19685,24033,10,18607.8,17776,2514.23617824579,15276,23553,10,24009.6,24312,1438.459467625,21604,26295,10,20681.3,20395.5,1209.66954578513,19100,22561
1166,750106.67,6297705.261,25.551,-1,9,123.888888888889,103,40.2255983850097,78,191,9,15832.4444444444,15335,1574.71804256516,14010,19068,9,12806.7777777778,12118,1542.19935141543,11412,16656,9,18515.3333333333,17637,2186.48129295552,16194,22758,9,17383.1111111111,16583,1642.28211437922,15915,20881
1167,750106.649,6297705.29,25.552,-1,9,144.222222222222,157,34.1102062855021,91,185,9,16212.6666666667,15973,1608.60063409163,14472,19068,9,14430.1111111111,13222,2471.84791173839,11800,19513,9,18284.8888888889,18167,1729.56966031338,16194,21483,9,17013.6666666667,16765,1098.0618278484,15915,19411
1168,750107.031,6297703.664,25.555,-1,9,54.2222222222222,42,28.6425393729047,14,118,9,20281.2222222222,20488,2285.12274300907,15614,24766,9,10820.3333333333,10636,1329.4205086762,8615,13055,9,31216.4444444444,32721,3302.69627597786,26519,36913,9,27613.8888888889,27765,2227.50759791419,23323,30349
1169,750108.706,6297703.069,25.546,-1,8,55.125,50,22.3071597250748,17,96,8,13887.5,13985.5,995.593918221681,12087,15487,8,9962.75,9823,562.64770283011,9099,10843,8,20314.125,19769.5,2300.98454131596,17061,23753,8,19838.5,19349.5,2061.93325546682,17482,23618
1170,750108.797,6297704.939,25.536,-1,9,153.444444444444,148,24.8556325434659,102,191,9,25449.7777777778,25514,4261.07820934712,17370,31646,9,21974.3333333333,22412,3253.07092520966,17463,28260,9,28388.8888888889,28284,4748.08811685631,20158,35341,9,24314.1111111111,23638,3102.088738771,19398,29369
1171,750110.33,6297704.484,25.553,-1,9,96.2222222222222,97,21.6167516203819,55,127,9,22847.8888888889,21389,4307.74273049108,17274,30278,9,15530.5555555556,15668,3740.76531418405,11008,21745,9,26782.8888888889,26976,3821.76656198688,20398,32505,9,24102.4444444444,24354,2350.12846509912,20296,27608
1172,750112.217,6297704.157,25.536,-1,9,191.333333333333,183,16.3571255285137,169,224,9,23164,23429,4678.58822485777,17319,31042,9,24078.8888888889,23899,5218.94083431675,16714,32837,9,22880.2222222222,22487,3627.25230497557,17818,29100,9,19370.8888888889,19665,1923.85391247444,16677,22287
1173,750113.634,6297703.274,25.544,-1,9,71.3333333333333,67,23.6737078727529,36,119,9,12717.6666666667,12085,2856.09410831568,8792,16546,9,9283.77777777778,9892,998.9909106224,7465,10288,9,18083.8888888889,18682,4513.24067961135,11088,25876,9,16997.2222222222,17159,3000.15843203054,13316,22317
1174,750115.104,6297702.785,25.55,-1,9,44.1111111111111,42,29.6776924995655,4,101,9,17293.3333333333,17530,2368.67876908438,13871,20851,9,9158.44444444445,9043,498.515376138905,8520,10056,9,26032.1111111111,25429,4150.66290406844,19485,32559,9,24315.1111111111,24728,2536.5855197027,20506,28333
1175,750115.221,6297702.706,25.548,-1,9,50.1111111111111,45,23.4778592836572,23,97,9,12706.8888888889,11339,3332.444329599,9001,20114,9,8454.88888888889,7992,1198.15334248116,6878,10780,9,20589.6666666667,18597,6952.5488851212,11718,33267,9,19857,18587,4549.87953442482,14435,29364
