field_1,field_2,field_3,field_4,field_5,NIR_count,NIR_mean,NIR_median,R_count,R_mean,R_median,RE_count,RE_mean,RE_median,B_count,B_mean,B_median,G_count,G_mean,G_median
745,765299.535000000032596,6308504.908999999985099,20.265000000000001,2.000000000000000,242.000000000000000,13935.297520661157250,13198.000000000000000,242.000000000000000,10693.582644628098933,10474.500000000000000,242.000000000000000,15543.099173553719083,14296.000000000000000,242.000000000000000,63.991735537190081,58.000000000000000,242.000000000000000,12401.074380165289767,11369.500000000000000
746,765298.356000000028871,6308508.260999999940395,20.318999999999999,0.000000000000000,246.000000000000000,21616.268292682925676,20938.500000000000000,246.000000000000000,15550.394308943086799,15526.000000000000000,246.000000000000000,24832.821138211380458,23687.000000000000000,246.000000000000000,99.414634146341470,100.500000000000000,246.000000000000000,18996.780487804877339,18462.000000000000000
747,765297.929000000003725,6308509.547000000253320,20.335000000000001,0.000000000000000,248.000000000000000,25769.818548387098417,25421.500000000000000,248.000000000000000,16229.463709677418592,16286.000000000000000,248.000000000000000,29353.423387096772785,29097.500000000000000,248.000000000000000,106.133064516129039,108.500000000000000,248.000000000000000,21649.064516129034018,21824.500000000000000
748,765296.851000000024214,6308507.743999999947846,20.312000000000001,0.000000000000000,244.000000000000000,20549.610655737706111,20430.000000000000000,244.000000000000000,13360.008196721311833,13767.000000000000000,244.000000000000000,23272.282786885247333,22810.000000000000000,244.000000000000000,84.200819672131146,82.000000000000000,244.000000000000000,17916.278688524591416,17688.000000000000000
749,765294.765999999945052,6308508.610999999567866,20.321000000000002,0.000000000000000,244.000000000000000,23654.348360655738361,22893.500000000000000,244.000000000000000,13293.200819672130820,13119.500000000000000,244.000000000000000,26101.028688524591416,25640.000000000000000,244.000000000000000,86.901639344262293,88.500000000000000,244.000000000000000,19323.819672131146945,19409.000000000000000
750,765292.677000000025146,6308509.774000000208616,20.303000000000001,0.000000000000000,248.000000000000000,24990.959677419356012,24300.000000000000000,248.000000000000000,13865.427419354839003,13450.500000000000000,248.000000000000000,28497.258064516128798,27450.000000000000000,248.000000000000000,93.407258064516128,92.500000000000000,248.000000000000000,20795.919354838708387,20021.500000000000000
751,765292.839000000036322,6308510.384999999776483,20.324000000000002,1.000000000000000,240.000000000000000,21391.679166666664969,20282.500000000000000,240.000000000000000,14852.225000000000364,14965.500000000000000,240.000000000000000,24470.879166666665697,22866.000000000000000,240.000000000000000,101.241666666666660,102.000000000000000,240.000000000000000,19161.424999999999272,18429.500000000000000
752,765291.055000000051223,6308511.314000000245869,20.343000000000000,0.000000000000000,243.000000000000000,21221.930041152263584,20294.000000000000000,243.000000000000000,12152.024691358024938,12135.000000000000000,243.000000000000000,23269.580246913581504,22165.000000000000000,243.000000000000000,80.584362139917701,81.000000000000000,243.000000000000000,17251.506172839504870,16856.000000000000000
753,765286.293999999994412,6308511.298000000417233,20.343000000000000,0.000000000000000,242.000000000000000,23604.719008264462900,22533.000000000000000,242.000000000000000,13626.462809917356935,13633.000000000000000,242.000000000000000,26277.074380165286129,24817.500000000000000,242.000000000000000,90.280991735537185,89.000000000000000,242.000000000000000,18811.504132231406402,18120.500000000000000
754,765285.013000000035390,6308511.567999999970198,20.312000000000001,0.000000000000000,242.000000000000000,23314.834710743802134,22616.500000000000000,242.000000000000000,14727.636363636363967,14491.000000000000000,242.000000000000000,25938.500000000000000,24098.000000000000000,242.000000000000000,96.314049586776861,96.000000000000000,242.000000000000000,19138.640495867770369,18594.500000000000000
755,765283.744999999878928,6308512.860999999567866,20.340000000000000,0.000000000000000,242.000000000000000,17918.396694214876334,16688.500000000000000,242.000000000000000,11708.801652892561833,11477.500000000000000,242.000000000000000,20018.140495867770369,18421.500000000000000,242.000000000000000,79.214876033057863,78.000000000000000,242.000000000000000,15154.900826446280917,14316.500000000000000
756,765281.918999999994412,6308512.256000000052154,20.388999999999999,0.000000000000000,244.000000000000000,26374.594262295082444,25632.500000000000000,244.000000000000000,14483.995901639344083,14389.000000000000000,244.000000000000000,30346.815573770491028,29521.500000000000000,244.000000000000000,96.524590163934420,99.000000000000000,244.000000000000000,21649.475409836064500,20941.000000000000000
757,765280.353000000119209,6308513.314000000245869,20.385000000000002,0.000000000000000,247.000000000000000,26417.902834008098580,26682.000000000000000,247.000000000000000,14880.153846153843915,14579.000000000000000,247.000000000000000,29959.720647773279779,30378.000000000000000,247.000000000000000,100.125506072874501,100.000000000000000,247.000000000000000,21085.307692307687830,21827.000000000000000
758,765279.915000000037253,6308514.499000000767410,20.326000000000001,0.000000000000000,242.000000000000000,27792.512396694215568,28122.000000000000000,242.000000000000000,14408.214876033058317,14150.500000000000000,242.000000000000000,31524.859504132229631,30691.500000000000000,242.000000000000000,92.095041322314046,90.000000000000000,242.000000000000000,22247.673553719003394,21407.000000000000000
759,765278.584999999962747,6308510.196999999694526,20.247000000000000,4.000000000000000,245.000000000000000,10514.346938775510353,9844.000000000000000,245.000000000000000,9660.697959183673447,9488.000000000000000,245.000000000000000,11964.673469387755176,11153.000000000000000,245.000000000000000,50.840816326530614,48.000000000000000,245.000000000000000,9659.910204081632401,9164.000000000000000
760,765275.155999999959022,6308509.230999999679625,20.271999999999998,6.000000000000000,248.000000000000000,11328.963709677418592,10509.000000000000000,248.000000000000000,9919.826612903225396,9554.000000000000000,248.000000000000000,13990.104838709678006,12368.500000000000000,248.000000000000000,60.947580645161288,50.500000000000000,248.000000000000000,11603.608870967742405,10091.000000000000000
761,765272.787000000011176,6308509.309999998658895,20.228000000000002,9.000000000000000,244.000000000000000,10103.348360655738361,9201.500000000000000,244.000000000000000,8690.807377049181014,8334.000000000000000,244.000000000000000,12672.467213114754486,11114.000000000000000,244.000000000000000,54.655737704918032,46.000000000000000,244.000000000000000,10350.819672131146945,9013.500000000000000
762,765268.400000000023283,6308510.468999999575317,20.227000000000000,8.500000000000000,241.000000000000000,9258.941908713690282,9066.000000000000000,241.000000000000000,8732.423236514523524,8736.000000000000000,241.000000000000000,12126.087136929460030,11782.000000000000000,241.000000000000000,47.609958506224061,45.000000000000000,241.000000000000000,9793.966804979252629,9533.000000000000000
763,765261.099000000045635,6308513.589999999850988,20.245000000000001,8.000000000000000,242.000000000000000,9878.487603305786251,9375.000000000000000,242.000000000000000,9265.020661157022914,9138.500000000000000,242.000000000000000,12565.752066115703201,11705.500000000000000,242.000000000000000,49.012396694214878,45.000000000000000,242.000000000000000,10012.962809917356935,9226.000000000000000
764,765255.814999999944121,6308517.254999999888241,20.283000000000001,5.500000000000000,243.000000000000000,9159.399176954731956,8887.000000000000000,243.000000000000000,9946.403292181070356,9926.000000000000000,243.000000000000000,12145.806584362142530,11712.000000000000000,243.000000000000000,48.288065843621403,46.000000000000000,243.000000000000000,10196.333333333333940,9992.000000000000000
765,765257.373999999952503,6308525.697999999858439,20.277000000000001,11.000000000000000,243.000000000000000,7598.427983539094384,7386.000000000000000,243.000000000000000,9075.444444444445253,9112.000000000000000,243.000000000000000,10383.962962962965321,9961.000000000000000,243.000000000000000,52.234567901234570,49.000000000000000,243.000000000000000,9396.617283950618003,9142.000000000000000
766,765264.073999999905936,6308532.519999999552965,20.273000000000000,12.000000000000000,241.000000000000000,10161.825726141078121,9369.000000000000000,241.000000000000000,8587.398340248962995,8130.000000000000000,241.000000000000000,12381.049792531119238,10910.000000000000000,241.000000000000000,56.182572614107883,49.000000000000000,241.000000000000000,10433.622406639004112,9218.000000000000000
767,765273.050999999977648,6308536.969999999739230,20.292999999999999,11.000000000000000,248.000000000000000,12763.217741935482991,12164.000000000000000,248.000000000000000,9987.012096774193196,9721.000000000000000,248.000000000000000,15752.883064516128798,14600.500000000000000,248.000000000000000,59.927419354838712,53.500000000000000,248.000000000000000,12603.076612903225396,12035.000000000000000
768,765279.787000000011176,6308538.786000000312924,20.318000000000001,11.000000000000000,248.000000000000000,18254.354838709678006,18086.000000000000000,248.000000000000000,11119.491935483871202,11011.000000000000000,248.000000000000000,22138.161290322579589,21113.000000000000000,248.000000000000000,58.169354838709680,55.000000000000000,248.000000000000000,15892.540322580645807,15348.500000000000000
769,765299.837000000057742,6308545.964999999850988,20.422999999999998,0.000000000000000,241.000000000000000,17841.896265560164466,16876.000000000000000,241.000000000000000,13595.668049792531747,13321.000000000000000,241.000000000000000,22094.875518672197359,20480.000000000000000,241.000000000000000,74.352697095435687,71.000000000000000,241.000000000000000,16713.211618257260852,15816.000000000000000
770,765304.859000000054948,6308547.598000000230968,20.334000000000000,13.000000000000000,244.000000000000000,10882.659836065573472,10509.000000000000000,244.000000000000000,11756.180327868853055,11428.500000000000000,244.000000000000000,14044.040983606557347,12754.500000000000000,244.000000000000000,60.577868852459019,58.500000000000000,244.000000000000000,12524.004098360655917,11521.500000000000000
771,765324.981999999959953,6308571.183000000193715,20.396999999999998,9.500000000000000,246.000000000000000,10996.414634146343815,10501.500000000000000,246.000000000000000,9826.914634146343815,9159.000000000000000,246.000000000000000,13824.434959349593555,12432.500000000000000,246.000000000000000,48.845528455284551,36.000000000000000,246.000000000000000,11576.430894308943607,10358.000000000000000
772,765329.569000000017695,6308572.895999999716878,20.445000000000000,8.000000000000000,241.000000000000000,16909.958506224065786,16294.000000000000000,241.000000000000000,10353.792531120332569,10087.000000000000000,241.000000000000000,20100.701244813280937,18965.000000000000000,241.000000000000000,53.240663900414937,47.000000000000000,241.000000000000000,14612.937759336098679,14076.000000000000000
773,765341.513000000035390,6308580.599000001326203,20.381000000000000,16.000000000000000,240.000000000000000,9907.654166666667152,9638.500000000000000,240.000000000000000,10431.637500000000728,10117.000000000000000,240.000000000000000,12724.737499999999272,12196.000000000000000,240.000000000000000,57.945833333333333,54.500000000000000,240.000000000000000,11610.837499999999636,11151.000000000000000
774,765355.365999999921769,6308580.695000000298023,20.334000000000000,12.000000000000000,241.000000000000000,11716.319502074687989,10398.000000000000000,241.000000000000000,9039.829875518671543,8474.000000000000000,241.000000000000000,14401.244813278006404,12218.000000000000000,241.000000000000000,57.112033195020750,46.000000000000000,241.000000000000000,11736.900414937759706,10695.000000000000000
775,765342.589000000036322,6308587.855000000447035,20.373000000000001,8.000000000000000,243.000000000000000,13741.934156378600164,12935.000000000000000,243.000000000000000,9355.827160493827250,9047.000000000000000,243.000000000000000,16209.008230452674979,15405.000000000000000,243.000000000000000,60.506172839506171,54.000000000000000,243.000000000000000,12522.641975308641122,11979.000000000000000
776,765315.508000000030734,6308579.981999999843538,20.396999999999998,6.000000000000000,240.000000000000000,16204.845833333332848,15756.500000000000000,240.000000000000000,11561.395833333333940,11284.000000000000000,240.000000000000000,20025.983333333333576,19208.000000000000000,240.000000000000000,56.625000000000000,53.000000000000000,240.000000000000000,15461.975000000000364,14962.500000000000000
777,765306.942999999970198,6308579.352000000886619,20.388999999999999,8.000000000000000,242.000000000000000,14283.892561983471751,13396.500000000000000,242.000000000000000,11317.561983471072381,10730.000000000000000,242.000000000000000,17764.640495867770369,15855.500000000000000,242.000000000000000,58.768595041322314,55.000000000000000,242.000000000000000,14017.140495867768550,13012.000000000000000
778,765295.091000000014901,6308578.419999999925494,20.381000000000000,9.000000000000000,246.000000000000000,15144.804878048780665,14420.000000000000000,246.000000000000000,12287.134146341462838,11537.000000000000000,246.000000000000000,19118.544715447158524,17868.000000000000000,246.000000000000000,58.182926829268290,58.000000000000000,246.000000000000000,15392.983739837398389,14216.500000000000000
779,765286.930999999982305,6308576.730999999679625,20.366000000000000,12.000000000000000,244.000000000000000,14954.950819672130820,14265.500000000000000,244.000000000000000,10269.331967213114694,9505.000000000000000,244.000000000000000,17630.286885245903250,16370.000000000000000,244.000000000000000,50.000000000000000,43.500000000000000,244.000000000000000,13310.262295081967750,11980.000000000000000
780,765273.728000000002794,6308573.353000000119209,20.343000000000000,10.000000000000000,242.000000000000000,7648.702479338842750,7160.000000000000000,242.000000000000000,10370.049586776858632,10401.500000000000000,242.000000000000000,9526.801652892561833,8749.500000000000000,242.000000000000000,45.818181818181827,42.500000000000000,242.000000000000000,9157.830578512397551,8544.500000000000000
781,765258.636000000056811,6308569.283999999985099,20.347000000000001,6.000000000000000,240.000000000000000,16977.437500000000000,16234.500000000000000,240.000000000000000,10628.608333333333576,10308.500000000000000,240.000000000000000,19903.500000000000000,18909.500000000000000,240.000000000000000,53.808333333333330,46.500000000000000,240.000000000000000,15262.766666666666424,14216.500000000000000
