field_1,field_2,field_3,field_4,field_5,G_count,G_mean,G_median,G_stdev,G_min,G_max,B_count,B_mean,B_median,B_stdev,B_min,B_max,R_count,R_mean,R_median,R_stdev,R_min,R_max,RE_count,RE_mean,RE_median,RE_stdev,RE_min,RE_max,NIR_count,NIR_mean,NIR_median,NIR_stdev,NIR_min,NIR_max
1361,772067.467,6306774.764,21.633,"10",9,0.00322259758185181,0.0032767690718174,0.00046263233405346,0.00258937641046941,0.00390340783633292,9,107.674041748047,108.321739196777,5.15964374519703,98.6050338745117,114.765060424805,9,0.00220825062650773,0.00220819702371955,6.4498640763424e-05,0.00208866526372731,0.00230859685689211,9,0.00681865882749359,0.00694974604994059,0.00127324123995044,0.00520316418260336,0.00878263916820288,9,0.00882510934025049,0.00905041396617889,0.00151499652345275,0.00658623874187469,0.0112036420032382
1362,772077.694,6306772.4,21.646,"11",9,0.00326068153501385,0.00338234263472259,0.000277260717664326,0.0028526617679745,0.00360667519271374,9,93.3214535183377,92.8815078735352,3.8847670974787,88.4603652954102,100.03589630127,9,0.00190817227121443,0.00191642064601183,4.66749977083581e-05,0.00184042076580226,0.00196905061602592,9,0.00726624412669076,0.00756796356290579,0.000921446122964788,0.00579607021063566,0.00864474847912788,9,0.010454917119609,0.0108988005667925,0.00128658644592684,0.00841733440756798,0.0123230647295713
1363,772087.365,6306775.498,21.7,"4",9,0.00239590296728743,0.00227902573533356,0.000256760074219695,0.00212843623012304,0.00300424476154149,9,89.3817172580295,90.1916046142578,4.87317667431038,81.0091018676758,96.6944198608398,9,0.00204150251940721,0.00202568015083671,7.5323293103882e-05,0.0019174984190613,0.00213739764876664,9,0.004474228558441,0.00425661820918322,0.000606949655266442,0.00395996309816837,0.00604795711115003,9,0.00630834662458963,0.0062542213127017,0.000697055501430933,0.00556337786838412,0.00806727726012468
1364,772092.512,6306777.502,21.712,"7",9,0.00327774483917488,0.00320798670873046,0.000349685782853945,0.002755660796538,0.00371143245138228,9,100.600346035428,97.5313491821289,11.0966651149985,77.285285949707,112.391990661621,9,0.00211175382395999,0.00212102429941297,0.000104864223075005,0.00193850987125188,0.00224297167733312,9,0.00655591291271978,0.00659883674234152,0.000818131781817181,0.00513845356181264,0.00759731605648994,9,0.00860553126161297,0.00852967146784067,0.000859171930713461,0.00704693188890815,0.00963496416807175
1365,772095.03,6306778.083,21.635,"13",9,0.00238612048431403,0.00235779187642038,0.000172740467375587,0.00220079580321908,0.00271746539510787,9,85.2829742431641,85.5713882446289,2.82737629482274,80.7475662231445,89.004264831543,9,0.00195500164085792,0.00194322178140283,3.00551601079549e-05,0.00192333513405174,0.00201071263290942,9,0.00474132825103071,0.00459693372249603,0.000457142099865366,0.00424996390938759,0.0055613936856389,9,0.00666688579238123,0.00640779826790094,0.000558781704148936,0.0061269854195416,0.00775619177147746
1366,772095.724,6306778.188,21.623,"12",9,0.00257326279663377,0.00257454719394445,0.000287436777507271,0.00210539763793349,0.00295752403326333,9,86.0065655178494,86.6284713745117,2.39309689579464,80.8024520874023,90.3132858276367,9,0.00195030771040668,0.00195015675853938,4.25051498570876e-05,0.00184502161573619,0.00200300221331418,9,0.00501253616271747,0.00478053605183959,0.000825187882648127,0.00394657161086798,0.00623704865574837,9,0.00681302251501216,0.00650175428017974,0.000991065047309762,0.00553093990311027,0.0082839410752058
1367,772096.517,6306777.939,21.595,"12",9,0.00340766695121096,0.00331101496703923,0.000275266384530224,0.00303995283320546,0.00390166393481195,9,86.0837114122179,85.2322311401367,7.73802815212766,72.6691284179688,96.7852935791016,9,0.00208430936456554,0.00204767077229917,8.14315243526303e-05,0.00200199126265943,0.00224847136996686,9,0.00729453698214557,0.0070775467902422,0.000681857290912561,0.00644716992974281,0.00829667691141367,9,0.00951444781902764,0.00909020006656647,0.000867190681452555,0.00829529389739037,0.010763643309474
1368,772105.884,6306786.84,21.715,"12",9,0.00284883858532541,0.00280260993167758,0.000400061255484267,0.00224496028386056,0.00339034711942077,9,62.7358059353299,61.8249244689941,6.28643904901122,54.3298950195312,73.886848449707,9,0.00183182154109495,0.00181899720337242,5.59675191244079e-05,0.00175810768269002,0.00191737536806613,9,0.00628562152592672,0.00614887708798051,0.00119919432485234,0.00470300298184156,0.00793076679110527,9,0.00978229200053546,0.009739656932652,0.00163540806423402,0.00758390221744776,0.0121156740933657
1369,772105.845,6306786.799,21.719,"8",10,0.0034032525960356,0.00343659962527454,0.000182577939193248,0.00305582885630429,0.00365088717080653,10,73.0723575592041,73.4825592041016,8.68289323678296,58.9248962402344,87.3037414550781,10,0.00190967884846032,0.00190868059871718,6.99835421850924e-05,0.00179581623524427,0.00200573820620775,10,0.00802532662637532,0.00811753189191222,0.000674212536623365,0.0065052742138505,0.0090110469609499,10,0.0120788963511586,0.0121786971576512,0.00100657436546684,0.00977557525038719,0.0134192388504744
1370,772109.599,6306789.201,21.679,"10",12,0.0031658080406487,0.00328527868259698,0.000333722024084767,0.00255271210335195,0.00361215393058956,12,62.2050224939982,63.8253898620605,6.38976443644229,50.0323066711426,72.4705352783203,12,0.00208169443067163,0.00207504618447274,5.30816837261763e-05,0.00200493261218071,0.00217846967279911,12,0.00673221948090941,0.00678750826045871,0.000892233418691666,0.00537194218486547,0.00830306671559811,12,0.00940051744692028,0.00942760659381747,0.00101071166482043,0.00799520406872034,0.0112091479822993
1371,772138.389,6306729.939,21.656,"5",9,0.00288501932906608,0.00292382994666696,0.000156352230476256,0.00257228780537844,0.00308692012913525,9,74.8406075371636,75.3720626831055,5.08348613248845,67.7356491088867,85.8747329711914,9,0.00223943322069115,0.00221307878382504,5.96321052458209e-05,0.00215722434222698,0.00233228737488389,9,0.00541901873010728,0.00555348489433527,0.000554802089347452,0.00445610703900456,0.00617060251533985,9,0.00726474604258935,0.00741518056020141,0.000574583820438658,0.00628282362595201,0.00805538706481457
