field_1,field_2,field_3,field_4,field_5,NIR_count,NIR_mean,NIR_median,RE_count,RE_mean,RE_median,B_count,B_mean,B_median,R_count,R_mean,R_median,G_count,G_mean,G_median
113,764870.889,6310082.762,22.503,5,10,20228.8,19830,10,22947.6,22675,10,67.3,67.5,10,9888.2,9919.5,10,14727.5,14948.5
114,764874.462,6310081.153,22.473,7,9,12421.7777777778,12250,9,15819.1111111111,15868,9,103.222222222222,106,9,12236.5555555556,12439,9,14563,14160
115,764879.448,6310080.505,22.454,9,10,12199.9,11895.5,10,14451.3,14046,10,93,92,10,11674.8,11729.5,10,13550.9,13477.5
116,764884.987,6310080.81,22.428,9,9,17132.7777777778,17027,9,22829.5555555556,22728,9,88.1111111111111,87,9,11718.4444444444,11886,9,16630.2222222222,16904
117,764892.812,6310078.976,22.462,6,9,10389.2222222222,10440,9,13092.1111111111,13180,9,101.111111111111,102,9,12377.5555555556,12390,9,13221.7777777778,13145
118,764898.705,6310075.917,22.415,10,9,12199.4444444444,11762,9,14636.2222222222,13871,9,102.555555555556,103,9,11804.7777777778,11769,9,13301.6666666667,13077
119,764901.769,6310074.446,22.492,6,10,14118.6,13429,10,17679.4,16792.5,10,73.6,71.5,10,12299.7,12222.5,10,14534.3,14446
120,764905.805,6310074.785,22.4,15,9,13627.6666666667,13264,9,19720,19653,9,101.555555555556,100,9,13041.6666666667,13213,9,15675.1111111111,15679
121,764911.16,6310073.119,22.395,7,9,11415.2222222222,11618,9,15576.7777777778,16123,9,98.3333333333333,96,9,13870,13809,9,14917.1111111111,15217
122,764915.379,6310072.042,22.398,9,9,15303,15344,9,19384.8888888889,19921,9,119.444444444444,121,9,12740.4444444444,12686,9,15754.3333333333,15721
123,764922.612,6310071.009,22.422,8,9,13040.7777777778,12634,9,17992.4444444444,17581,9,101.888888888889,102,9,13459.7777777778,13581,9,16154.8888888889,15678
124,764931.308,6310069.941,22.413,7,9,16683.5555555556,15956,9,21432.5555555556,20727,9,118,119,9,13641.3333333333,13755,9,18268.6666666667,18322
125,764934.104,6310070.864,22.385,10,10,11260.3,10901,10,15732.1,15203,10,122.2,124,10,13998,14037.5,10,15388.3,15456
126,764939.663,6310071.129,22.396,8,9,12722.4444444444,12414,9,17818.7777777778,17460,9,90.3333333333333,92,9,13787.4444444444,13771,9,15967.5555555556,15981
127,764946.45,6310072.044,22.41,7,9,13676.7777777778,13747,9,16936.6666666667,17057,9,87.6666666666667,89,9,12576.4444444444,12596,9,14847.3333333333,14863
128,764950.84,6310071.67,22.416,9,9,18691.5555555556,19489,9,21695,21924,9,97.3333333333333,97,9,11312.7777777778,11216,9,15117.1111111111,14506
129,764954.348,6310071.842,22.391,8,9,10476.2222222222,10392,9,14359.6666666667,13830,9,123.888888888889,124,9,14016.7777777778,13860,9,14223.3333333333,14324
130,764960.307,6310070,22.353,10,9,16065.5555555556,16805,9,17770,17671,9,89.7777777777778,91,9,11717.8888888889,11826,9,13840.3333333333,13796
131,764970.681,6310066.323,22.366,13,8,11017.875,10999,8,14846.5,14727.5,8,112.5,113,8,13036.5,13107.5,8,14360.125,14386.5
132,764974.313,6310065.621,22.331,14,9,17595.6666666667,17731,9,21984.3333333333,21415,9,89.4444444444444,94,9,11825.4444444444,11769,9,15685.5555555556,16158
133,764978.635,6310065.337,22.322,13,12,14371.5833333333,14622,12,18519.25,18640.5,12,98.1666666666667,98.5,12,13216.1666666667,13287.5,12,15614.1666666667,15428.5
134,764985.248,6310065.397,22.329,6,12,14978.6666666667,14505,12,18564.6666666667,18201.5,12,96.9166666666667,97,12,12622.25,12653,12,15111.4166666667,14929.5
135,764989.914,6310064.427,22.354,15,8,13264.875,13304.5,8,19135.5,19087.5,8,114.875,115.5,8,17728.75,17763,8,18648.5,18597
136,764996.301,6310064.818,22.404,9,9,16418.3333333333,16838,9,20777,21023,9,106.333333333333,106,9,11659.4444444444,11681,9,15243.7777777778,15015
137,765001.745,6310064.27,22.368,12,11,17518.6363636364,17405,11,21165.3636363636,20979,11,99.8181818181818,101,11,11341.4545454545,11395,11,15584.2727272727,15756
138,765006.089,6310064.257,22.349,12,9,20011.4444444444,20362,9,19450.8888888889,19396,9,57.5555555555556,59,9,8708.33333333333,8815,9,13494.8888888889,13500
139,765010.175,6310063.438,22.319,15.5,10,14236.1,14206.5,10,17454.8,17511,10,79.7,85.5,10,11353.9,11426.5,10,15070.7,15234.5
140,765018.216,6310058.802,22.425,8,9,23236.5555555556,23475,9,24941.4444444444,24671,9,69.3333333333333,67,9,8453.88888888889,8470,9,15547.5555555556,15460
141,765018.482,6310050.69,22.428,8,9,25037.8888888889,25500,9,25693.5555555556,25684,9,73.5555555555556,75,9,8327.88888888889,8268,9,15384.3333333333,15308
142,765018.442,6310043.083,22.418,8,9,13017.5555555556,12200,9,14863.8888888889,14775,9,94.3333333333333,99,9,9786.77777777778,9805,9,12449.5555555556,12331
143,765018.645,6310031.141,22.399,10,8,25785.375,26346,8,28192.25,28664,8,69.625,74.5,8,9542.25,9625,8,17546.75,17849
144,765018.448,6310024.255,22.395,12,9,19432.4444444444,19893,9,23303.3333333333,23602,9,82.3333333333333,82,9,9896.11111111111,9750,9,16829.8888888889,17031
145,765018.383,6310014.491,22.353,12,12,18906.0833333333,18523.5,12,21682.0833333333,20842,12,91.4166666666667,92.5,12,9515.75,9459,12,15449.5,15289.5
