field_1,field_2,field_3,field_4,field_5,NIR_count,NIR_mean,NIR_median,G_count,G_mean,G_median,B_count,B_mean,B_median,RE_count,RE_mean,RE_median,R_count,R_mean,R_median
1036,750140.946,6297624.688,25.306,2,9,21129.5555555556,21664,9,17492.1111111111,16767,9,60.5555555555556,59,9,24485.1111111111,25189,9,11122.2222222222,11031
1037,750138.577,6297625.06,25.308,3,9,21731.4444444444,21191,9,16762.8888888889,17157,9,39.3333333333333,44,9,23907,24258,9,10234.7777777778,10149
1038,750137.728,6297626.299,25.337,0,10,13965,13715.5,10,14215.6,13767.5,10,63.4,59,10,16595.6,16347.5,10,11334.9,11184.5
1039,750134.734,6297623.103,25.28,5,9,13264.5555555556,13439,9,11409.6666666667,11902,9,46.2222222222222,49,9,13265,13912,9,7975.33333333333,8246
1040,750131.324,6297622.481,25.294,3,9,14975.6666666667,14150,9,12158.8888888889,11620,9,39.8888888888889,29,9,16349,15701,9,8856.22222222222,8574
1041,750125.446,6297623.192,25.314,3,10,30354.3,30134.5,10,24197.6,24640,10,80.4,80.5,10,36469.9,36824.5,10,15458.1,15648.5
1042,750124.07,6297623.011,25.29,1,9,22872.3333333333,23053,9,17239.8888888889,17887,9,47.1111111111111,43,9,25815.5555555556,25470,9,10777.1111111111,10836
1043,750120.932,6297623.79,25.315,2,9,21395.2222222222,21736,9,18192.4444444444,18429,9,64.1111111111111,64,9,26216.7777777778,26303,9,11471.5555555556,11573
1044,750115.426,6297623.78,25.314,3,9,22946.7777777778,23201,9,14860.5555555556,15194,9,47.4444444444444,46,9,22459.3333333333,22887,9,9711.44444444445,9747
1045,750111.819,6297624.383,25.329,3,12,19438.9166666667,18789.5,12,14861.5833333333,14667.5,12,53.0833333333333,54.5,12,22274.4166666667,21509.5,12,9829.16666666667,9651.5
1046,750108.214,6297625.743,25.317,0,9,20246.8888888889,20491,9,17318.6666666667,17406,9,53.5555555555556,37,9,24850.8888888889,25163,9,10995.8888888889,11134
1047,750106.824,6297626.341,25.334,0,9,12113.7777777778,12072,9,10368.7777777778,10097,9,37.7777777777778,32,9,12866.4444444444,12258,9,7944,8031
1048,750107.404,6297627.689,25.305,1,9,21639.3333333333,21561,9,16203,16947,9,33.1111111111111,31,9,22427.6666666667,22602,9,10482.4444444444,10330
1049,750103.922,6297626.559,25.333,1,9,11221.8888888889,11328,9,11103,9523,9,45.4444444444444,41,9,12734,11786,9,8533.88888888889,8427
1050,750101.176,6297627.04,25.356,0,9,16947.3333333333,16925,9,17323.1111111111,16703,9,85.2222222222222,85,9,22045.8888888889,21465,9,12023,12270
1051,750102.249,6297625.55,25.319,1,9,18474.1111111111,18190,9,20092.1111111111,19662,9,93.5555555555556,106,9,24596.2222222222,25622,9,12086,11874
1052,750100.009,6297626.666,25.369,0,9,15402.3333333333,14849,9,17078.5555555556,17333,9,69,70,9,19953.5555555556,19576,9,11929.7777777778,12138
1053,750098.866,6297628.138,25.327,0,9,13252.6666666667,12980,9,15047.5555555556,14160,9,73.1111111111111,84,9,16712.6666666667,15350,9,10712.4444444444,10439
1054,750100.138,6297629.577,25.355,0,9,13593.8888888889,12944,9,11251.2222222222,10289,9,13.8888888888889,11,9,14697.6666666667,13573,9,9548.55555555555,9435
1055,750101.684,6297629.698,25.251,2,8,14450.75,13871,8,13883.125,13618.5,8,42.75,39.5,8,17258.25,16046.5,8,9906,9770
1056,750102.547,6297630.354,25.33,0,9,18589,18519,9,17782.2222222222,17162,9,79.7777777777778,87,9,23224,22421,9,11830,12242
1057,750101.733,6297631.774,25.4,-1,10,15371.9,15051.5,10,14220.2,14578,10,51.7,57,10,17824.9,18441.5,10,11643.6,11513.5
1058,750100.797,6297632.552,25.393,-1,9,9634.77777777778,9520,9,8272.55555555555,8108,9,30.4444444444444,27,9,9480.77777777778,9200,9,8229,7984
1059,750100.009,6297632.059,25.405,-1,12,16959.9166666667,17903,12,14281.5,14429.5,12,38.5,41.5,12,19804.0833333333,21117,12,9784.41666666667,9742.5
1060,750102.357,6297631.762,25.407,-1,9,10825.4444444444,10438,9,9455.77777777778,9178,9,33.5555555555556,36,9,10979.2222222222,10470,9,8534.22222222222,8186
1061,750104.478,6297631.574,25.403,-1,9,20367,20433,9,15597.7777777778,15548,9,56,53,9,22446.5555555556,22231,9,9820.88888888889,9503
1062,750106.295,6297631.623,25.384,0,12,17937.3333333333,16877.5,12,14466.9166666667,13430.5,12,26.6666666666667,22.5,12,18610.5833333333,17476.5,12,9282.33333333333,8857
1063,750107.793,6297630.935,25.36,0,9,19240,18489,9,16417.7777777778,15504,9,63.8888888888889,67,9,22697.4444444444,22339,9,11705.6666666667,11737
1064,750099.863,6297636.8,25.302,7.5,10,11565.6,11408,10,13878.5,12985.5,10,62.6,59.5,10,13744.5,13020.5,10,11104,11028
