field_1,field_2,field_3,field_4,field_5,R_count,R_mean,R_median,G_count,G_mean,G_median,B_count,B_mean,B_median,RE_count,RE_mean,RE_median,NIR_count,NIR_mean,NIR_median
409,765080.071,6308836.23,20.768,0,9,14499,14175,9,20100.8888888889,20637,9,65,66,9,31153.7777777778,31637,9,22340.3333333333,23962
410,765080.712,6308836.694,20.775,0,8,9246.875,9194,8,12762.875,12222,8,39.875,40.5,8,15668.75,14833.5,8,14073.875,13561.5
411,765079.682,6308838.034,20.786,0,9,11260.7777777778,11206,9,15748.3333333333,16092,9,54.5555555555556,55,9,21969.3333333333,22903,9,17021.6666666667,17641
412,765080.296,6308838.27,20.748,0,10,16040.1,16057.5,10,17125.6,17332.5,10,79.5,87.5,10,18960.5,19239,10,15161.4,15637.5
413,765081.571,6308840.028,20.757,1,9,11100.2222222222,11035,9,17892.1111111111,19683,9,61.8888888888889,65,9,23926.3333333333,24027,9,19517.4444444444,20456
414,765082.267,6308835.885,20.758,1,10,10336.4,10338.5,10,9657.6,9601,10,33,32,10,10788.6,10843,10,9423.7,9462.5
415,765082.695,6308837.896,20.757,0,10,8986,8179,10,11558.8,9750,10,35.7,25,10,15433.3,13055,10,14431,13135
416,765081.739,6308842.59,20.751,0,10,8554.1,8062,10,7430.1,7380.5,10,36.4,33,10,7184,7097.5,10,6054.5,6032
417,765086.784,6308841.185,20.767,0,9,11114.7777777778,11798,9,13946.3333333333,14391,9,43.6666666666667,42,9,17248.2222222222,17968,9,14626.7777777778,14880
418,765086.165,6308843.341,20.782,1,9,8211.77777777778,7844,9,9569.22222222222,8400,9,19.2222222222222,15,9,11518.5555555556,9904,9,12034.6666666667,10400
419,765086.696,6308842.965,20.746,1,10,14322.3,14786,10,18061.8,18542,10,70,65.5,10,23003.3,26049.5,10,18365,18504
420,765086.518,6308844.976,20.754,4,10,9688.1,9590.5,10,13185.4,12920,10,45.6,33,10,16723.1,15419,10,16183.2,15873.5
421,765088.709,6308845.724,20.763,1,9,11177.5555555556,11499,9,15579.3333333333,16516,9,78.2222222222222,81,9,21210.5555555556,22588,9,17033,16943
422,765089.247,6308846.104,20.724,1,9,15459.5555555556,15615,9,22230.2222222222,22129,9,90.6666666666667,90,9,32463.8888888889,32902,9,24321.4444444444,25247
423,765089.798,6308845.252,20.79,0,12,11883.4166666667,12098.5,12,16072,15946.5,12,56.4166666666667,53,12,21465.0833333333,21239,12,16214.5833333333,16226.5
424,765090.058,6308844.253,20.772,0,9,11655,10989,9,15814.4444444444,16078,9,56.5555555555556,43,9,21563.1111111111,22055,9,17137.7777777778,16577
425,765090.521,6308843.306,20.761,0,9,8355.77777777778,8500,9,8921,8972,9,16.6666666666667,13,9,11370.5555555556,11253,9,11477.1111111111,10888
426,765090.855,6308841.891,20.784,0,10,13239,11806.5,10,14726.3,13438,10,73.9,66,10,16321.9,14661,10,13565,13282
427,765090.241,6308839.734,20.764,0,9,8786.33333333333,8583,9,8955.55555555555,8418,9,33.6666666666667,34,9,10610.5555555556,10140,9,9654.55555555555,9386
428,765090.744,6308837.533,20.794,0,10,7615.5,7369.5,10,8105.1,7575,10,27.2,22.5,10,9718.6,9322.5,10,9702.5,9482.5
429,765089.746,6308851.412,20.815,0,10,11838.9,11886.5,10,15576.4,15287.5,10,67.1,62,10,21116.3,20128.5,10,17317.4,17335
430,765090.174,6308852.219,20.776,0,9,9287.55555555555,8911,9,13069.1111111111,12598,9,46.1111111111111,33,9,19933.7777777778,19573,9,20454,21203
431,765088.893,6308852.388,20.805,0,9,7783.66666666667,7400,9,9280.11111111111,7597,9,24.5555555555556,20,9,10845.7777777778,9148,9,11094.3333333333,10130
432,765088.237,6308851.073,20.789,0,12,7460.75,6570,12,9222.66666666667,7632,12,24.75,24,12,10809.25,8964.5,12,9267.58333333333,9002
433,765089.986,6308853.471,20.805,0,9,7541.55555555556,7277,9,9317.11111111111,9223,9,38.6666666666667,37,9,13011.6666666667,12952,9,13040.7777777778,12954
434,765092.541,6308851.519,20.74,2,9,12574.8888888889,12918,9,15722.1111111111,14760,9,47,21,9,23037.3333333333,21157,9,19285.4444444444,19312
435,765095.593,6308852.54,20.704,6,10,10266.7,10321,10,12339.8,11912,10,55.9,56,10,16697.6,15877.5,10,14470.7,13999
436,765096.224,6308855.355,20.75,1,10,7438.2,6955.5,10,9876.3,8619.5,10,44.8,31.5,10,13860,11842,10,14060.1,13017
